freq,Amp1,Amp2,dif
1.982759,0.08807,0.155447,0.067377
1.992337,0.083484,0.150439,0.066955
2.001916,0.07997,0.151839,0.071869
2.011494,0.092832,0.14173,0.048898
2.021073,0.083715,0.146004,0.062289
2.030651,0.080354,0.14303,0.062676
2.04023,0.086095,0.152239,0.066144
2.049808,0.08201,0.144793,0.062783
2.059387,0.086955,0.152003,0.065048
2.068966,0.085299,0.142814,0.057515
2.078544,0.083237,0.147701,0.064464
2.088123,0.087599,0.145408,0.057809
2.097701,0.086158,0.147167,0.061009
2.10728,0.080733,0.150152,0.069419
2.116858,0.083251,0.144486,0.061235
2.126437,0.084861,0.143547,0.058686
2.136015,0.078743,0.141703,0.06296
2.145594,0.083338,0.137609,0.054271
2.155172,0.084187,0.136729,0.052542
2.164751,0.082114,0.138436,0.056322
2.17433,0.083348,0.128282,0.044934
2.183908,0.082349,0.140472,0.058123
2.193487,0.08246,0.126625,0.044165
2.203065,0.083013,0.142223,0.05921
2.212644,0.082026,0.130428,0.048402
2.222222,0.077258,0.136208,0.05895
2.231801,0.080416,0.133039,0.052623
2.241379,0.08202,0.135927,0.053907
2.250958,0.077297,0.139007,0.06171
2.260536,0.077578,0.139185,0.061607
2.270115,0.079448,0.137935,0.058487
2.279693,0.076411,0.133643,0.057232
2.289272,0.077249,0.136169,0.05892
2.298851,0.076441,0.133377,0.056936
2.308429,0.076302,0.136911,0.060609
2.318008,0.079562,0.134604,0.055042
2.327586,0.07441,0.128398,0.053988
2.337165,0.074006,0.130373,0.056367
2.346743,0.07756,0.12457,0.04701
2.356322,0.075018,0.13601,0.060992
2.3659,0.080351,0.129253,0.048902
2.375479,0.082127,0.141347,0.05922
2.385057,0.082941,0.129082,0.046141
2.394636,0.077602,0.135544,0.057942
2.404215,0.077649,0.124459,0.04681
2.413793,0.073654,0.127355,0.053701
2.423372,0.074417,0.126794,0.052377
2.43295,0.077303,0.123526,0.046223
2.442529,0.066559,0.124482,0.057923
2.452107,0.072264,0.122141,0.049877
2.461686,0.076881,0.115898,0.039017
2.471264,0.074541,0.122958,0.048417
2.480843,0.071359,0.125563,0.054204
2.490421,0.071285,0.126342,0.055057
2.5,0.066874,0.132969,0.066095
2.509579,0.068451,0.114823,0.046372
2.519157,0.064993,0.126081,0.061088
2.528736,0.062059,0.112942,0.050883
2.538314,0.069179,0.130331,0.061152
2.547893,0.072616,0.133246,0.06063
2.557471,0.074207,0.136316,0.062109
2.56705,0.079738,0.133626,0.053888
2.576628,0.074654,0.128354,0.0537
2.586207,0.076134,0.124347,0.048213
2.595785,0.068619,0.122371,0.053752
2.605364,0.071086,0.121823,0.050737
2.614943,0.067095,0.124445,0.05735
2.624521,0.070786,0.120256,0.04947
2.6341,0.064462,0.122545,0.058083
2.643678,0.074193,0.11837,0.044177
2.653257,0.074807,0.114931,0.040124
2.662835,0.07628,0.113914,0.037634
2.672414,0.067844,0.110955,0.043111
2.681992,0.070567,0.11801,0.047443
2.691571,0.071505,0.114752,0.043247
2.701149,0.071258,0.111163,0.039905
2.710728,0.066164,0.111811,0.045647
2.720307,0.062494,0.100798,0.038304
2.729885,0.069222,0.108379,0.039157
2.739464,0.072149,0.107399,0.03525
2.749042,0.074992,0.11162,0.036628
2.758621,0.071519,0.111577,0.040058
2.768199,0.067253,0.105245,0.037992
2.777778,0.063759,0.109975,0.046216
2.787356,0.062673,0.102064,0.039391
